stratum,name,repo_canonical,rule,note
joss,ssdtools: An R package to fit Species Sensitivity Distributions,github.com/bcgov/ssdtools,R3_version_paper_superseded,kept 2025-01-28
joss,Lithology: A Landlab submodule for spatially variable rock properties,github.com/landlab/landlab,R3_version_paper_superseded,kept 2020-09-24
joss,pvlib python: a python package for modeling solar energy systems,github.com/pvlib/pvlib-python,R3_version_paper_superseded,kept 2023-12-22
joss,"mlpack 3: a fast, flexible machine learning library",github.com/mlpack/mlpack,R3_version_paper_superseded,kept 2023-02-01
joss,register: Registration for Exponential Family Functional Data,github.com/julia-wrobel/registr,R3_version_paper_superseded,kept 2021-05-06
joss,"PyGBe: Python, GPUs and Boundary elements for biomolecular electrostatics",github.com/barbagroup/pygbe,R3_version_paper_superseded,kept 2017-11-30
joss,Flexible Metadata Annotation for Agent-based Energy System Models,gitlab.com/fame-framework/fame-io,R5_non_github_host,
joss,pyhctsa: A Python package for highly comparative time-series analysis,github.com/dynamicsandneuralsystems/pyhctsa,R2_dual_listed_assigned_pyopensci,
joss,faer: A linear algebra library for the Rust programming language,codeberg.org/sarah-quinones/faer,R5_non_github_host,
joss,Cobwood: Enhancing Forest Economics Model Reusability Through Labelled Panel Data Structures,gitlab.com/bioeconomy/cobwood/cobwood,R5_non_github_host,
joss,"Cosmologix: Fast, accurate and differentiable distances in the universe with JAX",gitlab.in2p3.fr/lemaitre/cosmologix,R5_non_github_host,
joss,POLEVAL: A Python package for HAXPES analysis,gitlab.fysik.su.se/operando-catalysis-spectroscopy/polariseval,R5_non_github_host,
joss,Homemaker: software for adaptive domestic design,bitbucket.org/brunopostle/homemaker,R5_non_github_host,
joss,SunPeek: Open-Source Tool for Performance Analytics of Solar Thermal Plants,gitlab.com/sunpeek/sunpeek,R5_non_github_host,
joss,SerializableSimpy: Parallel and Serializable Discrete-Event Simulation in Python,gitlab.com/uniluxembourg/hpc/research/cadom/serializable-simpy,R5_non_github_host,
joss,Ratel: Performance portable solid mechanics with libCEED and PETSc,gitlab.com/micromorph/ratel,R5_non_github_host,
joss,Dxtr: A Python package for Discrete Exterior Calculus.,gitlab.com/oali/dxtr,R5_non_github_host,
joss,GALFITools: A Python library to enhance GALFIT usage in galaxy image modeling,github.com/canorve/galfitools,R2_dual_listed_assigned_pyopensci,
joss,C4DYNAMICS: The Python framework for state-space modeling and algorithm development,github.com/c4dynamics/c4dynamics,R2_dual_listed_assigned_pyopensci,
joss,GroLink: A general application programming interface for the plant-modeling platform GroIMP,gitlab.com/grogra/groimp-plugins/api,R5_non_github_host,
joss,galsbi: A Python package for the GalSBI galaxy population model,gitlab.com/cosmology-ethz/galsbi,R5_non_github_host,
joss,pyMultiFit: A Python library for fitting data with multiple models,github.com/syedalimohsinbukhari/pymultifit,R2_dual_listed_assigned_pyopensci,
joss,SWIFTGalaxy: a Python package to work with particle groups from SWIFT simulations,github.com/swiftsim/swiftgalaxy,R2_dual_listed_assigned_pyopensci,
joss,DeepTrees: Tree Crown Segmentation and Analysis in Remote Sensing Imagery with PyTorch,codebase.helmholtz.cloud/taimur.khan/deeptrees,R5_non_github_host,
joss,CEPS: a cardiac electrophysiology exploration tool for new mathematical models and methods,codeberg.org/cepsinria/ceps,R5_non_github_host,
joss,CommaSuite: Monitoring and Testing of OpenAPI and AsyncAPI Software Interfaces,gitlab.eclipse.org/eclipse/comma/comma,R5_non_github_host,
joss,FElupe: Finite element analysis for continuum mechanics of solid bodies,github.com/adtzlr/felupe,R2_dual_listed_assigned_pyopensci,
joss,PIVA: Photoemission Interface for Visualization and Analysis,github.com/pudeiko/piva,R2_dual_listed_assigned_pyopensci,
joss,MAFw: A Modular Analysis Framework for Streamlining and Optimizing Data Analysis Workflows,code.europa.eu/kada/mafw,R5_non_github_host,
joss,Miop: a modular pipeline for 3D reconstruction from scanning electron microscope images,gitlab.com/cmbm-ethz/miop,R5_non_github_host,
joss,UFig v1: The ultra-fast image generator,gitlab.com/cosmology-ethz/ufig,R5_non_github_host,
joss,pyCLINE: A Python package using the CLINE method for discovery of nullcline structures in oscillatory dynamics,gitlab.kuleuven.be/gelenslab/publications/pycline,R5_non_github_host,
joss,deflake.rs: Detect Flaky Tests in Rust Projects using Execution Data,codeberg.org/benmagill/deflake.rs,R5_non_github_host,
joss,CNearest: A C++ toolkit to use the nearest-neighbour method of regularised stokeslets algorithm to solve viscous flow problems,gitlab.com/djsmithbham/cnearest,R5_non_github_host,
joss,easyCHEM: A Python package for calculating chemical equilibrium abundances in exoplanet atmospheres,gitlab.com/eliselei/easychem,R5_non_github_host,
joss,GREOPy: A Python package for solving the emitter-observer problem in general relativity,codeberg.org/jphackstein/greopy,R5_non_github_host,
joss,idinn: A Python Package for Inventory-Dynamics Control with Neural Networks,gitlab.com/computationalscience/idinn,R5_non_github_host,
joss,ChemInformant: A Robust and Workflow-Centric Python Client for High-Throughput PubChem Access,github.com/hzacode/cheminformant,R2_dual_listed_assigned_pyopensci,
joss,fastatomstruct: A High-Performance Library for Structural and Dynamical Analysis of Atomic Systems,zivgitlab.uni-muenster.de/ag-salinga/fastatomstruct,R5_non_github_host,
joss,Solar Data Tools: a Python library for automated analysis of unlabeled PV data,github.com/slacgismo/solar-data-tools,R2_dual_listed_assigned_pyopensci,
joss,Pointcloud: Implementation of point clouds as graphs in the 3D plant modeling platform GroIMP,gitlab.com/grogra/groimp-plugins/pointcloud,R5_non_github_host,
joss,venco.py: A Python model to represent the charging flexibility and vehicle-to-grid potential of electric vehicles in energy system models,gitlab.com/dlr-ve/esy/vencopy/vencopy,R5_non_github_host,
joss,VibIR-Parallel-Compute: Enhancing Vibration and Infrared Analysis in High-Performance Computing Environments,gitlab.com/morikawa-lab-osakau/vibir-parallel-compute,R5_non_github_host,
joss,"MontePy: a Python library for reading, editing, and writing MCNP input files.",github.com/idaholab/montepy,R2_dual_listed_assigned_pyopensci,
joss,cd2es: Converting climate data to energy system input data,gitlab.ruhr-uni-bochum.de/ee/cd2es,R5_non_github_host,
joss,r3f: Rotation of 3-dimensional Reference Frames,gitlab.com/davidwoodburn/r3f,R5_non_github_host,
joss,DuneCopasi: A multi-compartment reaction-diffusion simulator for systems biology,gitlab.dune-project.org/copasi/dune-copasi,R5_non_github_host,
joss,Pysewer: A Python Library for Sewer Network Generation in Data Scarce Regions,git.ufz.de/despot/pysewer,R5_non_github_host,
joss,THzTools: data analysis software for terahertz time-domain spectroscopy,github.com/dodge-research-group/thztools,R2_dual_listed_assigned_pyopensci,
joss,rdata: A Python library for R datasets,github.com/vnmabus/rdata,R2_dual_listed_assigned_pyopensci,
joss,itrm: Interactive Terminal Utilities,gitlab.com/davidwoodburn/itrm,R5_non_github_host,
joss,Easy16S: a user-friendly Shiny web-service for exploration and visualization of microbiome data.,forgemia.inra.fr/migale/easy16s,R5_non_github_host,
joss,Stingray 2: A fast and modern Python library for spectral timing,github.com/stingraysoftware/stingray,R2_dual_listed_assigned_pyopensci,
joss,"harmonize-wq: Standardize, clean and wrangle Water Quality Portal data into more analytic-ready formats",github.com/usepa/harmonize-wq,R2_dual_listed_assigned_pyopensci,
joss,Siril: An Advanced Tool for Astronomical Image Processing,gitlab.com/free-astro/siril,R5_non_github_host,
joss,CN-AeroModels: A C++ implementation of aerodynamic models for wind propulsion systems of cargo ships,gitlab.com/lheea/cn-aeromodels,R5_non_github_host,
joss,SpectralModel: a high-resolution framework for petitRADTRANS 3,gitlab.com/mauricemolli/petitradtrans,R5_non_github_host,
joss,Pooltool: A Python package for realistic billiards simulation,github.com/ekiefl/pooltool,R2_dual_listed_assigned_pyopensci,
joss,State-Averaged Orbital-Optimized VQE: A quantum algorithm for the democratic description of ground and excited electronic states,gitlab.com/martinbeseda/sa-oo-vqe-qiskit,R5_non_github_host,
joss,AQCNES: A Quasi-Continuum Non-Equilibrium Solver,gitlab.com/qc-devs/aqcnes,R5_non_github_host,
joss,Pherosensor-toolbox: a Python package for Biology-Informed Data Assimilation,forgemia.inra.fr/pherosensor/pherosensor-toolbox,R5_non_github_host,
joss,InsarViz: An open source Python package for the interactive visualization of satellite SAR interferometry data,gricad-gitlab.univ-grenoble-alpes.fr/deformvis/insarviz,R5_non_github_host,
joss,open Delft Advanced Research Terra Simulator (open-DARTS),gitlab.com/open-darts/open-darts,R5_non_github_host,
joss,Catalyst: a Python JIT compiler for auto-differentiable hybrid quantum programs,github.com/pennylaneai/catalyst,R1_corpus_overlap,
joss,REMix: A GAMS-based framework for optimizing energy system models,gitlab.com/dlr-ve/esy/remix/framework,R5_non_github_host,
joss,dataquieR 2: An updated R package for FAIR data quality assessments in observational studies and electronic health record data,gitlab.com/libreumg/dataquier,R5_non_github_host,
joss,"sourmash v4: A multitool to quickly search, compare, and analyze genomic and metagenomic data sets",github.com/sourmash-bio/sourmash,R2_dual_listed_assigned_pyopensci,
joss,MARTINI: Mock Array Radio Telescope Interferometry of the Neutral ISM,github.com/kyleaoman/martini,R2_dual_listed_assigned_pyopensci,
joss,ncompare: A Python package for comparing netCDF structures,github.com/nasa/ncompare,R2_dual_listed_assigned_pyopensci,
joss,Mantik: A Workflow Platform for the Development of Artificial Intelligence on High-Performance Computing Infrastructures,gitlab.com/mantik-ai/mantik,R5_non_github_host,
joss,PourPy - A python package to generate potential-pH diagrams,gitlab.com/cmbm-ethz/pourbaix-diagrams,R5_non_github_host,
joss,PROFFASTpylot: Running PROFFAST with Python,gitlab.eudat.eu/coccon-kit/proffastpylot,R5_non_github_host,
joss,ZodiPy: A Python package for zodiacal light simulations,github.com/cosmoglobe/zodipy,R2_dual_listed_assigned_pyopensci,
joss,pypfilt: a particle filter for Python,bitbucket.org/robmoss/particle-filter-for-python,R5_non_github_host,
joss,bonsai_ipcc - a Python package for the calculation of national greenhouse gas inventories,gitlab.com/bonsamurais/bonsai/util/ipcc,R5_non_github_host,
joss,Viable North Sea (ViNoS): A NetLogo Agent-based Model of German Small-scale Fisheries,codebase.helmholtz.cloud/mussel/netlogo-northsea-species,R5_non_github_host,
joss,calorine: A Python package for constructing and sampling neuroevolution potential models,gitlab.com/materials-modeling/calorine,R5_non_github_host,
joss,"CoSApp: a Python library to create, simulate and design complex systems.",gitlab.com/cosapp/cosapp,R5_non_github_host,
joss,Akantu: an HPC finite-element library for contact and dynamic fracture simulations,gitlab.com/akantu/akantu,R5_non_github_host,
joss,PARMESAN: Meteorological Timeseries and Turbulence Analysis Backed by Symbolic Mathematics,gitlab.com/tue-umphy/software/parmesan,R5_non_github_host,
joss,elsa: an elegant framework for tomographic reconstruction,gitlab.com/tum-ciip/elsa,R5_non_github_host,
joss,H-RISK with NoiseModelling: a QGIS plugin to predict environmental noise and estimate health risks,gitlab.com/jtagusari/hrisk-noisemodelling,R5_non_github_host,
joss,libcdict: fast dictionaries in C,gitlab.com/robizzard/libcdict,R5_non_github_host,
joss,Phasik: a Python package to identify system states in partially temporal networks,gitlab.com/habermann_lab/phasik,R5_non_github_host,
joss,Motorcycle: A spectral boundary-integral method for seismic cycles on multiple faults,bitbucket.org/sbarbot/motorcycle/src/master,R5_non_github_host,
joss,Machine Learning Validation via Rational Dataset Sampling with astartes,github.com/jacksonburns/astartes,R2_dual_listed_assigned_pyopensci,
joss,DARTS: The Data Analysis Remote Treatment Service,gitlab.com/soleil-data-treatment/soleil-software-projects/remote-desktop,R5_non_github_host,
joss,automata: A Python package for simulating and manipulating automata,github.com/caleb531/automata,R2_dual_listed_assigned_pyopensci,
joss,Biotrade: A Python package to access and analyse the international trade of bio-based products,gitlab.com/bioeconomy/forobs/biotrade,R5_non_github_host,
joss,PyThia: A Python package for Uncertainty Quantification based on non-intrusive polynomial chaos expansions,gitlab.com/pythia-uq/pythia,R5_non_github_host,
joss,A Java Library for Itemset Mining with Choco-solver,gitlab.com/chaver/choco-mining,R5_non_github_host,
joss,"sfctools - A toolbox for stock-flow consistent, agent-based models",gitlab.com/dlr-ve/esy/sfctools/framework,R5_non_github_host,
joss,TAXPASTA: TAXonomic Profile Aggregation and STAndardisation,github.com/taxprofiler/taxpasta,R2_dual_listed_assigned_pyopensci,
joss,SigCorr: A Python package for studies of trials factors,gitlab.com/sigcorr/sigcorr,R5_non_github_host,
joss,ThermoCodegen: a python/C++ package for the generation of custom thermodynamic models,gitlab.com/enki-portal/thermocodegen,R5_non_github_host,
joss,Pyafscgap.org: Open source multi-modal Python-based tools for NOAA AFSC RACE GAP,github.com/schmidtdse/afscgap,R2_dual_listed_assigned_pyopensci,
joss,BasicTools: a numerical simulation toolbox,gitlab.com/drti/basic-tools,R5_non_github_host,
joss,Melissa: coordinating large-scale ensemble runs for deep learning and sensitivity analyses,gitlab.inria.fr/melissa/melissa,R5_non_github_host,
joss,binary_c-python: A Python-based stellar population synthesis tool and interface to binary_c,gitlab.com/binary_c/binary_c-python,R5_non_github_host,
joss,xclim: xarray-based climate data analytics,github.com/ouranosinc/xclim,R2_dual_listed_assigned_pyopensci,
joss,Atomic Simulation Interface (ASI): application programming interface for electronic structure codes,gitlab.com/pvst/asi,R5_non_github_host,
joss,smmR: A Semi-Markov R package,plmlab.math.cnrs.fr/lmrs/statistique/smmr,R5_non_github_host,
joss,STARRED: a two-channel deconvolution method with Starlet regularization,gitlab.com/cosmograil/starred,R5_non_github_host,
joss,Asimov: A framework for coordinating parameter estimation workflows,git.ligo.org/asimov/asimov,R5_non_github_host,
joss,SLEPLET: Slepian Scale-Discretised Wavelets in Python,github.com/astro-informatics/sleplet,R2_dual_listed_assigned_pyopensci,
joss,FAME-Core: An open Framework for distributed Agent-based Modelling of Energy systems,gitlab.com/fame-framework/fame-core,R5_non_github_host,
joss,AMIRIS: Agent-based Market model for the Investigation of Renewable and Integrated energy Systems,gitlab.com/dlr-ve/esy/amiris/amiris,R5_non_github_host,
joss,Crowsetta: A Python tool to work with any format for annotating animal vocalizations and bioacoustics data.,github.com/vocalpy/crowsetta,R2_dual_listed_assigned_pyopensci,
joss,RESOURCECODE: A Python package for statistical analysis of sea-state hindcast data,gitlab.ifremer.fr/resourcecode/resourcecode,R5_non_github_host,
joss,"Pynteny: a Python package to perform synteny-aware, profile HMM-based searches in sequence databases",github.com/robaina/pynteny,R2_dual_listed_assigned_pyopensci,
joss,APAV: An Open-Source Python Package for Mass Spectrum Analysis in Atom Probe Tomography,gitlab.com/jesseds/apav,R5_non_github_host,
joss,SICOPOLIS-AD v2: tangent linear and adjoint modeling framework for ice sheet modeling enabled by automatic differentiation tool Tapenade,gitlab.awi.de/sicopolis/sicopolis,R5_non_github_host,
joss,fieldcompare: A Python package for regression testing simulation results,gitlab.com/dglaeser/fieldcompare,R5_non_github_host,
joss,PyAutoGalaxy: Open-Source Multiwavelength Galaxy Structure & Morphology,github.com/jammy2211/pyautogalaxy,R2_dual_listed_assigned_pyopensci,
joss,PIVC: A C/C++ Program for Particle Image Velocimetry Vector Computation,gitlab.com/fibreglass/pivc,R5_non_github_host,
joss,RHEA: an open-source Reproducible Hybrid-architecture flow solver Engineered for Academia,gitlab.com/projectrhea/flowsolverrhea,R5_non_github_host,
joss,Tagging Latency Estimator: A Standalone Software for Estimating Latency of Event-Related Potentials in P300-based Brain-Computer Interfaces,gitlab.com/programgreg/tagginglatencyestimator,R5_non_github_host,
joss,RedOak: a reference-free and alignment-free structure for indexing a collection of similar genomes,gite.lirmm.fr/doccy/redoak,R5_non_github_host,
joss,InspectorCell: Finding Ground Truth in Multiplexed Microscopy Images,gitlab.com/inspectorcell/inspectorcell,R5_non_github_host,
joss,kep_solver: A Python package for kidney exchange programme exploration,gitlab.com/wpettersson/kep_solver,R5_non_github_host,
joss,bmiptools: BioMaterials Image Processing Tools,gitlab.mpikg.mpg.de/curcuraci/bmiptools,R5_non_github_host,
joss,Castellum: A participant management tool for scientific studies,git.mpib-berlin.mpg.de/castellum/castellum,R5_non_github_host,
joss,Nuclear Morphology Analysis 2.0.0: Improved image analysis software for measuring nuclear shape,bitbucket.org/bmskinner/nuclear_morphology,R5_non_github_host,
joss,"DMStag: Staggered, Structured Grids for PETSc",gitlab.com/petsc/petsc,R5_non_github_host,
joss,"python-ags4: A Python library to read, write, and validate AGS4 geodata files",gitlab.com/ags-data-format-wg/ags-python-library,R5_non_github_host,
joss,rustworkx: A High-Performance Graph Library for Python,github.com/qiskit/rustworkx,R1_corpus_overlap,
joss,DASF: A data analytics software framework for distributed environments,git.geomar.de/digital-earth/dasf/dasf-messaging-python,R5_non_github_host,
joss,"tsp (""Teaspoon""): A library for ground temperature data",gitlab.com/permafrostnet/teaspoon,R5_non_github_host,
joss,dyntapy: dynamic and static traffic assignment in Python,gitlab.kuleuven.be/itscrealab/public-toolboxes/dyntapy,R5_non_github_host,
joss,Swalbe.jl: A lattice Boltzmann solver for thin film hydrodynamics,jugit.fz-juelich.de/compflu/swalbe.jl,R5_non_github_host,
joss,SimSGamE : Scheduling simulator for modern game engines,gitlab.inria.fr/bcoye/game-engine-scheduling-simulation,R5_non_github_host,
joss,Multiple Inference: A Python package for comparing multiple parameters,gitlab.com/dsbowen/conditional-inference,R5_non_github_host,
joss,DMT-core: A Python Toolkit for Semiconductor Device Engineers,gitlab.com/dmt-development/dmt-core,R5_non_github_host,
joss,A-SLOTH: Ancient Stars and Local Observables by Tracing Halos,gitlab.com/thartwig/asloth,R5_non_github_host,
joss,"Interface to high-performance periodic coupled-cluster theory calculations with atom-centered, localized basis functions",gitlab.com/moerman1/fhi-cc4s,R5_non_github_host,
joss,PropPy -- Correlated random walk propagation of cosmic rays in magnetic turbulence,gitlab.ruhr-uni-bochum.de/reichp2y/proppy,R5_non_github_host,
joss,PEFAP : Estimating the environmental footprint of food products from packaging data,framagit.org/gustavecoste/off-product-environmental-impact,R5_non_github_host,
joss,ROCK: digital normalization of whole genome sequencing data,gitlab.pasteur.fr/vlegrand/rock,R5_non_github_host,
joss,GBOML: Graph-Based Optimization Modeling Language,gitlab.uliege.be/smart_grids/public/gboml,R5_non_github_host,
joss,text2map: R Tools for Text Matrices,gitlab.com/culturalcartography/text2map,R5_non_github_host,
joss,Hardware-Control: Instrument control and automation package,bitbucket.org/berkeleylab/hardware-control/src/main,R5_non_github_host,
joss,fishStan: Hierarchical Bayesian models for fisheries,code.usgs.gov/umesc/quant-ecology/fishstan,R5_non_github_host,
joss,SISSO++: A C++ Implementation of the Sure-Independence Screening and Sparsifying Operator Approach,gitlab.com/sissopp_developers/sissopp,R5_non_github_host,
joss,PICOS: A Python interface to conic optimization solvers,gitlab.com/picos-api/picos,R5_non_github_host,
joss,gLBM: A GPU enabled Lattice Boltzmann Method Library,gitlab.kitware.com/lbm/lattice-boltzmann-solver,R5_non_github_host,
joss,pyFBS: A Python package for Frequency Based Substructuring,gitlab.com/pyfbs/pyfbs,R5_non_github_host,
joss,cRacklet: a spectral boundary integral method library for interfacial rupture simulation,gitlab.com/cracklet/cracklet,R5_non_github_host,
joss,ORION2: A magnetohydrodynamics code for star formation,bitbucket.org/orionmhdteam/orion2_release1/src/master,R5_non_github_host,
joss,Taguette: open-source qualitative data analysis,gitlab.com/remram44/taguette,R5_non_github_host,
joss,MUQ: The MIT Uncertainty Quantification Library,bitbucket.org/mituq/muq2,R5_non_github_host,
joss,PyArmadillo: a streamlined linear algebra library for Python,gitlab.com/jason-rumengan/pyarma,R5_non_github_host,
joss,"Devicely: A Python package for reading, timeshifting and writing sensor data",github.com/hpi-dhc/devicely,R2_dual_listed_assigned_pyopensci,
joss,Madym: A C++ toolkit for quantitative DCE-MRI analysis,gitlab.com/manchester_qbi/manchester_qbi_public/madym_cxx,R5_non_github_host,
joss,The MarINvaders Toolkit,gitlab.com/marinvaders/marinvaders,R5_non_github_host,
joss,autumn: A Python library for dynamic modelling of captured CO_2 cost potential curves,gitlab.com/dlr-ve/autumn,R5_non_github_host,
joss,Science Capsule - Capturing the Data Life Cycle,bitbucket.org/sciencecapsule/sciencecapsule,R5_non_github_host,
joss,DYCO: A Python package to dynamically detect and compensate for time lags in ecosystem time series,gitlab.ethz.ch/holukas/dyco-dynamic-lag-compensation,R5_non_github_host,
joss,toqito -- Theory of quantum information toolkit: A Python package for studying quantum information,github.com/vprusso/toqito,R1_corpus_overlap,
joss,Predihood: an open-source tool for predicting neighbourhoods' information,gitlab.com/fduchate/predihood,R5_non_github_host,
joss,"besos: Building and Energy Simulation, Optimization and Surrogate Modelling",gitlab.com/energyincities/besos,R5_non_github_host,
joss,imea: A Python package for extracting 2D and 3D shape measurements from images,git.rwth-aachen.de/ants/sensorlab/imea,R5_non_github_host,
joss,EMD: Empirical Mode Decomposition and Hilbert-Huang Spectral Analyses in Python,gitlab.com/emd-dev/emd,R5_non_github_host,
joss,BVPy: A FEniCS-based Python package to ease the expression and study of boundary value problems in Biology.,gitlab.inria.fr/mosaic/bvpy,R5_non_github_host,
joss,Autosubmit GUI: A Javascript-based Graphical User Interface to Monitor Experiments Workflow Execution,earth.bsc.es/gitlab/wuruchi/autosubmitreact,R5_non_github_host,
joss,PyGDH: Python Grid Discretization Helper,bitbucket.org/berkeleylab/esdr-pygdh,R5_non_github_host,
joss,Exonoodle: Synthetic time-series spectra generator for transiting exoplanets,gitlab.com/mmartin-lagarde/exonoodle-exoplanets/-/tree/master,R5_non_github_host,
joss,hawen: time-harmonic wave modeling and inversion using hybridizable discontinuous Galerkin discretization,gitlab.com/ffaucher/hawen,R5_non_github_host,
joss,ELDAM: A Python software for Life Cycle Inventory data management,framagit.org/gustavecoste/eldam,R5_non_github_host,
joss,The targets R package: a dynamic Make-like function-oriented pipeline toolkit for reproducibility and high-performance computing,github.com/ropensci/targets,R1_corpus_overlap,
joss,GIMS: Graphical Interface for Materials Simulations,gitlab.com/gims-developers/gims,R5_non_github_host,
joss,Frackit: a framework for stochastic fracture network generation and analysis,git.iws.uni-stuttgart.de/tools/frackit,R5_non_github_host,
joss,TBFMM: A C++ generic and parallel fast multipole method library,gitlab.inria.fr/bramas/tbfmm,R5_non_github_host,
joss,FHI-vibes: Ab Initio Vibrational Simulations,gitlab.com/vibes-developers/vibes,R5_non_github_host,
joss,BigX: A geographical dataset visualisation tool,gitlab.com/geekysquirrel/bigx,R5_non_github_host,
joss,Multitaper.jl: A Julia package for frequency domain analysis of time series,bitbucket.org/clhaley/multitaper.jl,R5_non_github_host,
joss,aiapy: A Python Package for Analyzing Solar EUV Image Data from AIA,gitlab.com/lmsal_hub/aia_hub/aiapy,R5_non_github_host,
joss,CRBHits: From Conditional Reciprocal Best Hits to Codon Alignments and Ka/Ks in R,gitlab.gwdg.de/mpievolbio-it/crbhits,R5_non_github_host,
joss,DARE Platform: a Developer-Friendly and Self-Optimising Workflows-as-a-Service Framework for e-Science on the Cloud,gitlab.com/project-dare/dare-platform,R5_non_github_host,
joss,MetalWalls: A classical molecular dynamics software dedicated to the simulation of electrochemical systems,gitlab.com/ampere2/metalwalls,R5_non_github_host,
joss,PyCS3: A Python toolbox for time-delay measurements in lensed quasars,gitlab.com/cosmograil/pycs3,R5_non_github_host,
joss,Scripts for Easier Use of Spice (SEUS): A Perl script package for simulating and creating batches of circuit netlists for Monte Carlo simulations when using Ngspice or Ngspice-based simulators,bitbucket.org/miketuri/perl-spice-sim-seus,R5_non_github_host,
joss,Utopia: A Comprehensive and Collaborative Modeling Framework for Complex and Evolving Systems,gitlab.com/utopia-project/utopia,R5_non_github_host,
joss,dfba: Software for efficient simulation of dynamic flux-balance analysis models in Python,gitlab.com/davidtourigny/dynamic-fba,R5_non_github_host,
joss,DVRlib: A C++ library for geometric mesh improvement using Directional Vertex Relaxation,bitbucket.org/rram/dvrlib/src/joss,R5_non_github_host,
joss,DORiE: A Discontinuous Galerkin Solver for Soil Water Flow and Passive Solute Transport Based on DUNE,gitlab.dune-project.org/dorie/dorie,R5_non_github_host,
joss,"dantro: a Python package for handling, transforming, and visualizing hierarchically structured data",gitlab.com/utopia-project/dantro,R5_non_github_host,
joss,Tamaas: a library for elastic-plastic contact of periodic rough surfaces,gitlab.com/tamaas/tamaas,R5_non_github_host,
joss,datafold: data-driven models for point clouds and time series on manifolds,gitlab.com/datafold-dev/datafold,R5_non_github_host,
joss,spam: Software for Practical Analysis of Materials,gricad-gitlab.univ-grenoble-alpes.fr/ttk/spam,R5_non_github_host,
joss,pyrolite: Python for geochemistry,github.com/morganjwilliams/pyrolite,R2_dual_listed_assigned_pyopensci,
joss,hammurabi X: a C++ package for simulating Galactic emissions,bitbucket.org/hammurabicode/hamx,R5_non_github_host,
joss,SAILS: Spectral Analysis In Linear Systems,gitlab.com/sails-dev/sails,R5_non_github_host,
joss,SunPy: A Python package for Solar Physics,github.com/sunpy/sunpy,R2_dual_listed_assigned_pyopensci,
joss,miet: an R package for region of interest analysis from magnetic reasonance images,gitlab.inria.fr/miet/miet,R5_non_github_host,
joss,"MoFEM: An open source, parallel finite element library",bitbucket.org/likask/mofem-cephas,R5_non_github_host,
joss,MyQueue: Task and workflow scheduling system,gitlab.com/myqueue/myqueue,R5_non_github_host,
joss,WulffPack: A Python package for Wulff constructions,gitlab.com/materials-modeling/wulffpack,R5_non_github_host,
joss,GAIM: A C++ library for Genetic Algorithms and Island Models,gitlab.com/gdetor/genetic_alg,R5_non_github_host,
joss,c14bazAAR: An R package for downloading and preparing C14 dates from different source databases,doi.org/10.17605/osf.io/3ds6a,R5_non_github_host,
joss,EarthPy: A Python package that makes it easier to explore and plot raster and vector data using open source Python tools.,github.com/earthlab/earthpy,R2_dual_listed_assigned_pyopensci,
joss,cppduals: a nestable vectorized templated dual number library for C++11,gitlab.com/tesch1/cppduals,R5_non_github_host,
joss,Simple-Web-Server: a fast and flexible HTTP/1.1 C++ client and server library,gitlab.com/eidheim/simple-web-server,R5_non_github_host,
